,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,num_venues,venue_senti,num_stations
1009,MARSA DUBAI,25.082647,55.135003000000005,1880000,807,2329.62,1,2,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1010,AL THANYAH THIRD,25.090953,55.16954200000001,1600000,1477,1083.28,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,28,7.825,1
1011,BURJ KHALIFA,25.191719,55.270677,2300000,1350,1703.7,2,2,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
1012,BUSINESS BAY,25.186023,55.291718,1123000,940,1194.68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8.518604651162791,1
1014,AL HEBIAH FIRST,25.046409,55.246264,600000,1000,600.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7.958064516129032,0
1015,MARSA DUBAI,25.085305,55.149287,1650000,1861,886.62,2,2,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,100,8.448,0
1016,MARSA DUBAI,25.080444,55.144318000000005,1095000,1225,893.88,2,2,2,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,100,8.448,0
1017,AL THANYAH FIFTH,25.065886,55.138246,950000,1389,683.95,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,51,8.21764705882353,2
1018,AL THANYAH THIRD,25.090455,55.174096,1120000,1305,858.24,2,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,28,7.825,1
1019,AL THANYAH THIRD,25.096545000000003,55.168784,1300000,761,1708.28,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,28,7.825,1
1020,AL THANYAH THIRD,25.092075,55.16822,2250000,2233,1007.61,3,4,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,28,7.825,1
1022,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,1350000,1361,991.92,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.200000000000001,0
1023,AL HEBIAH FOURTH,25.037236,55.20598,615000,822,748.18,1,2,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,12,8.208333333333334,0
1024,BURJ KHALIFA,25.191719,55.270677,1900000,1538,1235.37,2,3,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
1025,NAKHLAT JUMEIRA,25.111433,55.136798,1695000,1338,1266.82,1,2,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,99,8.488888888888889,0
1026,MARSA DUBAI,25.088606,55.148208,500000,761,657.03,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
1027,MARSA DUBAI,25.074307,55.132694,1200000,895,1340.78,1,2,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,100,8.448,0
1028,MARSA DUBAI,25.06873,55.128758,1650000,1109,1487.83,2,3,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1029,BURJ KHALIFA,25.194547,55.282429,3799900,1580,2405.0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.701,1
1030,BURJ KHALIFA,25.193656,55.2727,2250000,2219,1013.97,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
1031,BURJ KHALIFA,25.19331,55.280919,1200000,850,1411.76,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
1032,MARSA DUBAI,25.086575,55.147768000000006,3990000,2352,1696.43,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
1033,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,1895000,1968,962.91,3,4,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,8.200000000000001,0
1034,MARSA DUBAI,25.081634,55.141261,950000,936,1014.96,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
1035,WADI AL SAFA 3,25.171461,55.2758,1288888,742,1737.05,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8.766666666666666,0
1036,WADI AL SAFA 3,25.171461,55.2758,1288888,742,1737.05,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8.766666666666666,0
1037,WADI AL SAFA 3,25.171461,55.2758,1288888,742,1737.05,1,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,8.766666666666666,0
1038,BURJ KHALIFA,25.193542,55.277061,4900000,2678,1829.72,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
1039,NAKHLAT JUMEIRA,25.126233,55.15451,5045846,1740,2899.91,2,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,99,8.488888888888889,0
1040,BURJ KHALIFA,25.200879,55.276331000000006,1780000,822,2165.45,1,2,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,8.701,1
1041,JABAL ALI FIRST,25.026191,55.156948,350000,378,925.93,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,49,7.887755102040816,2
1042,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,2100000,1969,1066.53,3,3,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
1043,AL HEBIAH FOURTH,25.037236,55.20598,615000,822,748.18,1,2,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,8.208333333333334,0
1044,MARSA DUBAI,25.077213,55.136939,2395000,1875,1277.33,3,3,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.448,0
1045,MARSA DUBAI,25.081576,55.146948,654000,624,1048.08,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,8.448,0
1046,MARSA DUBAI,25.088431,55.146759,1599999,1180,1355.93,2,2,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,100,8.448,0
1047,BUSINESS BAY,25.187662,55.28406,600000,530,1132.08,0,1,2,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,43,8.518604651162791,1
1048,MARSA DUBAI,25.087251,55.145574,3000000,1746,1718.21,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
1050,NAKHLAT JUMEIRA,25.111902,55.138103,624888,321,1946.69,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,99,8.488888888888889,0
1051,AL KHEERAN,25.218977,55.367945,1950000,2256,864.36,3,4,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,64,7.984375,0
1052,NAKHLAT JUMEIRA,25.132021,55.151405,2702000,1034,2613.15,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,99,8.488888888888889,0
1053,MARSA DUBAI,25.07359,55.126352,4610000,1789,2576.86,2,3,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,100,8.448,0
1054,MARSA DUBAI,25.07359,55.126352,1980000,705,2808.51,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,100,8.448,0
1055,MARSA DUBAI,25.07359,55.126352,5800000,2590,2239.38,4,5,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,100,8.448,0
1056,MARSA DUBAI,25.07359,55.126352,3650000,1967,1855.62,2,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,100,8.448,0
1057,AL THANYAH THIRD,25.093319,55.168887,1300000,1343,967.98,2,2,2,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,28,7.825,1
1058,MARSA DUBAI,25.079453,55.136014,1600000,1731,924.32,2,3,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1059,MARSA DUBAI,25.07359,55.126352,2140000,766,2793.73,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,100,8.448,0
1060,NAKHLAT JUMEIRA,25.110559,55.137575,3300000,2250,1466.67,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
1061,BURJ KHALIFA,25.193806,55.284974,1550000,1040,1490.38,1,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
1062,BURJ KHALIFA,25.197316,55.274196,2250000,1378,1632.8,1,2,2,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,100,8.701,1
1063,BURJ KHALIFA,25.192054,55.27969,888888,810,1097.39,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,100,8.701,1
1064,JABAL ALI FIRST,25.027786,55.15669499999999,399000,380,1050.0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,49,7.887755102040816,2
1065,AL THANYAH THIRD,25.090661,55.171744,815000,857,950.99,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28,7.825,1
1066,MARSA DUBAI,25.083858,55.138714,5750000,2574,2233.88,3,4,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,100,8.448,0
1067,BURJ KHALIFA,25.186457,55.277512,1175000,1088,1079.96,1,2,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,100,8.701,1
1068,MARSA DUBAI,25.087751,55.147627,1049950,1258,834.62,2,2,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,100,8.448,0
1069,NAKHLAT JUMEIRA,25.111681,55.142546,1650000,1589,1038.39,2,2,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,99,8.488888888888889,0
1070,AL KIFAF,25.233787,55.294217,1359000,990,1372.73,1,2,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.466666666666667,1
1071,BURJ KHALIFA,25.201842000000003,55.280473,1600000,1105,1447.96,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,100,8.701,1
1072,BURJ KHALIFA,25.191107,55.26991,1650000,1725,956.52,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
1073,MARSA DUBAI,25.084336,55.14925,2950000,2590,1139.0,4,5,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,100,8.448,0
1074,BURJ KHALIFA,25.186913,55.277919,1700000,1560,1089.74,2,3,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,100,8.701,1
1075,AL THANYAH THIRD,25.093596,55.166634,1500000,2528,593.35,3,3,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,28,7.825,1
1076,MARSA DUBAI,25.072316,55.137461,595000,613,970.64,1,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.448,0
1077,NADD AL SHIBA FIRST,25.158106,55.295016,1075000,1703,631.24,2,2,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.754545454545454,0
1078,AL BARSHA SOUTH FOURTH,25.057252,55.214303,695000,1474,471.51,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.275,0
1079,MARSA DUBAI,25.07715,55.135515000000005,1200000,1286,933.13,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.448,0
1080,AL THANYAH THIRD,25.090455,55.174096,1120000,1286,870.92,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7.825,1
1081,BURJ KHALIFA,25.19752,55.270168000000005,950000,774,1227.39,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
1082,WADI AL SAFA 3,25.171461,55.2758,1761627,1018,1730.48,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,8.766666666666666,0
1083,WADI AL SAFA 3,25.176965,55.311826,828241,670,1236.18,1,2,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,8.766666666666666,0
1084,WADI AL SAFA 3,25.176965,55.311826,1439112,1129,1274.68,2,3,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,8.766666666666666,0
1085,WADI AL SAFA 3,25.176965,55.311826,1650000,1228,1343.65,2,3,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,8.766666666666666,0
1086,MARSA DUBAI,25.079385,55.141933,3499000,5757,607.78,4,5,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1087,MARSA DUBAI,25.073146,55.13154,1350000,1400,964.29,2,3,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1088,MARSA DUBAI,25.082518,55.146735,1999950,1875,1066.64,2,3,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,100,8.448,0
1089,JABAL ALI FIRST,25.027686,55.15463199999999,1225000,1700,720.59,3,4,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,49,7.887755102040816,2
1090,AL BARSHA SOUTH FOURTH,25.059555,55.201659,750000,1321,567.75,2,3,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,8.275,0
1092,BURJ KHALIFA,25.194761,55.282343,3700000,1518,2437.42,2,3,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,100,8.701,1
1093,BURJ KHALIFA,25.196489,55.272126,15873000,5383,2948.73,4,5,2,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,100,8.701,1
1094,BURJ KHALIFA,25.196398,55.271002,1050000,860,1220.93,1,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.701,1
1095,BURJ KHALIFA,25.19702,55.271023,1450000,1198,1210.35,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,8.701,1
1096,AL BARSHA SOUTH FOURTH,25.056706,55.20790699999999,603000,997,604.81,1,2,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,8.275,0
1097,MARSA DUBAI,25.082647,55.135003000000005,5399990,2590,2084.94,4,4,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1098,MARSA DUBAI,25.082647,55.135003000000005,2300000,1180,1949.15,2,3,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1099,AL THANYAH THIRD,25.090953,55.16954200000001,1599999,1478,1082.54,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7.825,1
1100,NADD AL SHIBA FIRST,25.17299,55.305441,1235251,853,1448.13,2,2,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,11,8.754545454545454,0
1101,AL THANYAH THIRD,25.091283,55.174064,590000,758,778.36,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,28,7.825,1
1102,BURJ KHALIFA,25.187093,55.278912,1599900,1450,1103.38,2,3,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
1103,AL HEBIAH FIRST,25.045243,55.247508,460000,809,568.6,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,31,7.958064516129032,0
1104,AL THANYAH FIFTH,25.067019,55.139829000000006,700000,759,922.27,1,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,51,8.21764705882353,2
1105,AL BARSHA SOUTH FOURTH,25.050227,55.21335,699503,852,821.01,1,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,4,8.275,0
1106,AL BARSHA SOUTH FOURTH,25.050227,55.21335,1199789,1392,861.92,3,4,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1107,AL BARSHA SOUTH FOURTH,25.04866,55.20955,620502,851,729.14,1,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1108,AL BARSHA SOUTH FOURTH,25.04866,55.20955,759502,848,895.64,2,3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1109,AL BARSHA SOUTH FOURTH,25.04866,55.20955,1204504,1820,661.82,3,4,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,4,8.275,0
1110,AL BARSHA SOUTH FOURTH,25.046296,55.200783,661300,678,975.37,1,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1111,AL BARSHA SOUTH FOURTH,25.046296,55.200783,954206,1312,727.29,2,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1112,AL BARSHA SOUTH FOURTH,25.051528,55.212972,995786,1592,625.49,2,3,3,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1113,AL BARSHA SOUTH FOURTH,25.051528,55.212972,1045734,1592,656.87,2,3,2,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,4,8.275,0
1114,AL BARSHA SOUTH FOURTH,25.060439,55.202273,670728,728,921.33,1,2,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,4,8.275,0
1115,MARSA DUBAI,25.086376,55.14736,1800000,775,2322.58,1,2,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,100,8.448,0
1116,MARSA DUBAI,25.081622,55.141977,2050000,1480,1385.14,2,3,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,100,8.448,0
1117,AL BARSHA SOUTH FOURTH,25.046296,55.200783,439205,401,1095.27,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,4,8.275,0
1118,AL BARSHA SOUTH FOURTH,25.046296,55.200783,660606,678,974.35,1,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1119,AL BARSHA SOUTH FOURTH,25.04866,55.20955,619490,851,727.96,1,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1120,AL BARSHA SOUTH FOURTH,25.050227,55.21335,692503,751,922.11,1,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1121,AL BARSHA SOUTH FOURTH,25.046296,55.200783,660600,675,978.67,1,2,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1122,AL BARSHA SOUTH FOURTH,25.046296,55.200783,954502,1311,728.07,2,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1123,AL BARSHA SOUTH FOURTH,25.051528,55.212972,630205,870,724.37,1,2,3,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1124,AL BARSHA SOUTH FOURTH,25.051528,55.212972,990876,1592,622.41,2,3,3,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1125,AL BARSHA SOUTH FOURTH,25.060439,55.202273,670728,728,921.33,1,2,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,4,8.275,0
1126,AL BARSHA SOUTH FOURTH,25.04866,55.20955,620720,803,773.0,1,2,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,4,8.275,0
1127,AL BARSHA SOUTH FOURTH,25.04866,55.20955,759081,998,760.6,2,3,3,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4,8.275,0
1128,MARSA DUBAI,25.084418,55.144879,2200000,1973,1115.05,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
1129,BURJ KHALIFA,25.186836,55.276951,1019000,915,1113.66,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
1130,BURJ KHALIFA,25.19045,55.272402,1050000,838,1252.98,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,100,8.701,1
1131,MARSA DUBAI,25.087251,55.145574,1199000,848,1413.92,1,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,100,8.448,0
1132,AL THANYAH THIRD,25.078859,55.15794,2000000,1459,1370.8,2,3,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,28,7.825,1
1133,MARSA DUBAI,25.086376,55.14736,1450000,838,1730.31,1,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,100,8.448,0
1134,AL KHEERAN FIRST,25.2065,55.34505600000001,1800000,1567,1148.69,2,3,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,8.6,0
1135,AL THANYAH THIRD,25.088533,55.171838,848950,750,1131.93,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,28,7.825,1
1136,NAKHLAT JUMEIRA,25.111902,55.138103,992888,637,1558.69,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,99,8.488888888888889,0
1137,NADD AL SHIBA FIRST,25.172418,55.306951,525000,330,1590.91,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,11,8.754545454545454,0
1138,AL JADAF,25.226946,55.343628,750000,607,1235.58,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,18,8.0,1
1139,AL BARSHA SOUTH FOURTH,25.053111,55.20663,280000,387,723.51,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.275,0
