,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,num_venues,venue_senti,num_stations
59,BUSINESS BAY,25.183133,55.25658000000001,1709847,1367,1250.8,2,3,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,43,8.518604651162791,1
60,JUMEIRA FIRST,25.215192,55.235827,12000000,2631,4561.0,3,5,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,97,8.430927835051547,0
61,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,1850000,1993,928.25,3,4,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
62,UMM SUQEIM FIRST,25.137409,55.188957,2090000,1365,1531.14,2,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8.023684210526316,0
63,NADD AL SHIBA FIRST,25.145181,55.288017,1425000,1535,928.34,2,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8.754545454545454,0
64,MARSA DUBAI,25.070605,55.133230000000005,1595000,1350,1181.48,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
65,MARSA DUBAI,25.086376,55.14736,975000,627,1555.02,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,100,8.448,0
66,MARSA DUBAI,25.072954,55.128089,3400000,1672,2033.49,2,3,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,100,8.448,0
67,BUSINESS BAY,25.189124,55.26418,2050000,2197,933.09,3,4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,43,8.518604651162791,1
68,AL HEBIAH FIRST,25.046147,55.249375,995000,1670,595.81,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7.958064516129032,0
69,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,1300000,1182,1099.83,2,3,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
70,AL HEBIAH FIRST,25.046147,55.249375,1100000,1670,658.68,2,3,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,31,7.958064516129032,0
71,AL HEBIAH THIRD,25.019361,55.252762,750000,851,881.32,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.1,0
73,BURJ KHALIFA,25.19331,55.280919,2990000,1903,1571.2,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
74,NAKHLAT JUMEIRA,25.108728,55.142382,2400000,1717,1397.79,2,3,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
75,BURJ KHALIFA,25.194935,55.282665,2600000,1360,1911.76,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
76,MARSA DUBAI,25.083121,55.141064,2000000,1477,1354.1,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,8.448,0
77,BURJ KHALIFA,25.186457,55.277512,1800000,1622,1109.74,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
78,BURJ KHALIFA,25.196593,55.269631,930000,774,1201.55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
79,NAKHLAT JUMEIRA,25.132445,55.152216,3200000,1572,2035.62,2,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,99,8.488888888888889,0
80,AL BARSHA SOUTH FOURTH,25.066791,55.203684,714000,732,975.41,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,4,8.275,0
81,MARSA DUBAI,25.072396,55.132386,1075000,1300,826.92,3,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,100,8.448,0
82,BURJ KHALIFA,25.197316,55.274196,2299900,1133,2029.92,1,2,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.701,1
83,MARSA DUBAI,25.088431,55.146759,1200000,1180,1016.95,2,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,100,8.448,0
84,MARSA DUBAI,25.08377,55.145075,1525000,1440,1059.03,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
85,AL WASL,25.204462,55.262161,2700000,1685,1602.37,2,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,45,8.72888888888889,0
86,MARSA DUBAI,25.07851,55.136283,815000,779,1046.21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
87,AL THANYAH FIFTH,25.080143,55.152381000000005,860000,971,885.68,1,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,51,8.21764705882353,2
88,AL THANYAH FIRST,25.100994,55.178291,1200000,1450,827.59,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,54,7.555555555555555,1
89,MARSA DUBAI,25.07359,55.126352,1300000,763,1703.8,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
90,BURJ KHALIFA,25.197316,55.274196,2100000,1135,1850.22,1,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,100,8.701,1
91,BURJ KHALIFA,25.187622,55.278947,2100000,1974,1063.83,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
92,NAKHLAT JUMEIRA,25.132445,55.152216,2100000,1051,1998.1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
93,BURJ KHALIFA,25.197316,55.274196,2100000,826,2542.37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
94,NAKHLAT JUMEIRA,25.132021,55.151405,3499000,1633,2142.68,2,2,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
95,MARSA DUBAI,25.086726,55.145205,5500000,2609,2108.09,4,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,8.448,0
96,MARSA DUBAI,25.081243,55.14512,2100000,1579,1329.96,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
98,WADI AL SAFA 3,25.100921,55.313162,1800000,1964,916.5,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,3,8.766666666666666,0
100,BURJ KHALIFA,25.200926000000003,55.280912,1155000,753,1533.86,1,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,100,8.701,1
101,AL THANYAH THIRD,25.07868,55.15786899999999,2095000,1436,1458.91,2,3,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,28,7.825,1
102,BURJ KHALIFA,25.195461,55.269463,1900000,1438,1321.28,2,3,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.701,1
103,NAKHLAT JUMEIRA,25.111433,55.136798,1800000,1490,1208.05,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,99,8.488888888888889,0
104,NAKHLAT JUMEIRA,25.111229,55.136449,1800000,1490,1208.05,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99,8.488888888888889,0
105,AL BARSHA SOUTH FOURTH,25.049282,55.205381,890000,1400,635.71,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8.275,0
106,NAKHLAT JUMEIRA,25.132021,55.151405,3600000,1724,2088.17,2,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,99,8.488888888888889,0
107,MARSA DUBAI,25.081622,55.141977,1845000,1346,1370.73,2,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,100,8.448,0
109,NAKHLAT JUMEIRA,25.104117,55.148473,4995000,2990,1670.57,3,4,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,99,8.488888888888889,0
110,NAKHLAT JUMEIRA,25.112604,55.143347,3000000,2201,1363.02,3,4,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,99,8.488888888888889,0
111,BUSINESS BAY,25.176728,55.271595,610000,458,1331.88,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8.518604651162791,1
112,AL WASL,25.205218,55.262688,2850000,1734,1643.6,2,4,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,45,8.72888888888889,0
113,AL WASL,25.205218,55.262688,3315000,1950,1700.0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8.72888888888889,0
114,BURJ KHALIFA,25.196398,55.271002,1800000,1209,1488.83,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
115,BURJ KHALIFA,25.196398,55.271002,2100000,1354,1550.96,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
